,Company Name,Industry,Last Price,Change,%Chg,Mkt Cap(Rs cr)
0,IFCI,Finance - Term Lending Institutions,18.9,2.05,12.17,3205.0
1,Nagreeka Cap,Finance - Investments,38.45,3.0,8.46,49.0
2,Indo Thai Secu,Finance - General,63.3,4.25,7.2,63.0
3,Visagar Polytex,Textiles - Readymade Apparels,0.95,0.05,5.56,23.0
4,Indiabulls Hsg,Finance - Housing,1172.1,60.3,5.42,50001.0
5,Network 18,Finance - General,46.6,2.35,5.31,4879.0
6,Weizmann Forex,Finance - Investments,836.55,40.45,5.08,967.0
7,Maha Rasht Apex,Finance - Leasing & Hire Purchase,190.05,9.05,5.0,268.0
8,Almondz Global,Finance - Investments,31.8,1.5,4.95,82.0
9,Motor and Gen F,Finance - Leasing & Hire Purchase,41.55,1.95,4.92,80.0
10,Industrial Inv,Finance - Investments,105.8,4.8,4.75,239.0
11,Capital Trust,Finance - Leasing & Hire Purchase,410.4,18.45,4.71,671.0
12,Sasta Sundar,Finance - General,98.15,4.3,4.58,312.0
13,Karur Vysya,Banks - Private Sector,99.35,4.15,4.36,7219.0
14,ICICI Prudentia,Finance - General,420.0,17.4,4.32,60293.0
15,Bajaj Finserv,Finance - Investments,6071.7,245.3,4.21,96622.0
16,Stampede Cap,Finance - Investments,6.2,0.25,4.2,142.0
17,Rel Capital,Finance - Investments,395.8,15.25,4.01,10002.0
18,RBL Bank,Banks - Private Sector,515.05,19.6,3.96,21615.0
19,Keynote Corp,Finance - General,62.0,2.35,3.94,44.0
20,M&M Financial,Finance - Leasing & Hire Purchase,473.8,17.75,3.89,29270.0
21,Religare Enterp,Finance - Investments,52.05,1.85,3.69,929.0
22,L&T Finance,Finance - Investments,168.7,5.8,3.56,33668.0
23,Welspun Invest,Finance - Investments,163.0,5.45,3.46,60.0
24,TCI Finance,Finance - Investments,24.3,0.8,3.4,31.0
25,Canara Bank,Banks - Public Sector,253.2,8.1,3.3,18566.0
26,IDFC,Finance - Term Lending Institutions,51.2,1.6,3.23,8173.0
27,Bank of India,Banks - Public Sector,103.05,3.2,3.2,17961.0
28,McDowell Hold,Finance - Investments,32.55,1.0,3.17,46.0
29,Indian Bank,Banks - Public Sector,316.75,9.7,3.16,15213.0
30,Ujjivan Financi,Finance - General,386.7,11.3,3.01,4676.0
31,Jindal Poly Inv,Finance - General,45.8,1.3,2.92,48.0
32,Yes Bank,Banks - Private Sector,339.4,9.4,2.85,78218.0
33,SREI Infra,Finance - Leasing & Hire Purchase,74.15,2.05,2.84,3730.0
34,Kanani Ind,Diamond Cutting & Jewellery & Precious Metals,7.35,0.2,2.8,73.0
35,PNB Housing Fin,Finance - Housing,1254.25,32.2,2.63,20992.0
36,Equitas Holding,Finance - General,159.2,4.05,2.61,5421.0
37,Lakshmi Finance,Finance - General,93.9,2.35,2.57,28.0
38,LIC Housing Fin,Finance - Housing,482.9,11.9,2.53,24370.0
39,Union Bank,Banks - Public Sector,89.25,2.1,2.41,10430.0
40,IndusInd Bank,Banks - Private Sector,1914.95,44.25,2.37,114945.0
41,JK Bank,Banks - Private Sector,52.2,1.2,2.35,2907.0
42,Dewan Housing,Finance - Housing,615.05,14.05,2.34,19292.0
43,Edelweiss,Finance - General,310.55,6.95,2.29,28449.0
44,CPSE ETF,Finance - Investments,26.93,0.6,2.28,4630.0
45,Syndicate Bank,Banks - Public Sector,47.75,1.05,2.25,6767.0
46,Bharat Fin,Finance - General,1159.2,24.65,2.17,16153.0
47,AB Money,Finance - General,62.1,1.3,2.14,349.0
48,Can Fin Homes,Finance - Housing,360.95,7.2,2.04,4806.0
49,IDFC Bank,Banks - Private Sector,40.85,0.8,2.0,13906.0
50,Capital First,Finance - General,556.55,10.15,1.86,5508.0
51,Magma Fincorp,Finance - Leasing & Hire Purchase,185.3,3.3,1.81,4990.0
52,Federal Bank,Banks - Private Sector,84.4,1.5,1.81,16651.0
53,Indiabulls Vent,Finance - Investments,408.4,7.1,1.77,21455.0
54,Bank of Baroda,Banks - Public Sector,141.3,2.45,1.76,37381.0
55,GRUH Finance,Finance - Housing,674.35,11.65,1.76,24662.0
56,Rel ETF DO,Finance - General,29.37,0.5,1.73,24.0
57,Oriental Bank,Banks - Public Sector,78.6,1.3,1.68,4974.0
58,Karnataka Bank,Banks - Private Sector,118.7,1.95,1.67,3356.0
59,Kotak Mahindra,Banks - Private Sector,1295.85,20.4,1.6,246960.0
60,Williamson Mago,Finance - Investments,70.0,1.1,1.6,77.0
61,Lakshmi Vilas,Banks - Private Sector,96.1,1.5,1.59,2460.0
62,Dhunseri Invest,Finance - General,360.6,5.6,1.58,220.0
63,BF Investment,Finance - Investments,296.8,4.55,1.56,1118.0
