,Sr. No,Symbol,Name of the company,Last Price,Previous Close,Open,Day High,Day Low,Close Price
0,1,20MICRONS, 20 Microns Limited,41.90,44.95,44.95,45.00,40.85,41.55
1,2,3IINFOTECH, 3i Infotech Limited,5.00,5.10,5.05,5.15,4.90,5.00
2,3,3MINDIA, 3M India Limited,"19,850.00","20,038.75","20,050.00","20,499.40","19,755.05","19,914.35"
3,4,A2ZMES, A2Z Maintenance & Engineering Services Limited,0,0,0,0,0,0
4,5,AANJANEYA, Aanjaneya Lifecare Limited,0,0,0,0,0,0
5,6,AARTIDRUGS, Aarti Drugs Limited,535.60,533.05,532.95,543.30,525.00,538.25
6,7,AARTIIND, Aarti Industries Limited,"1,246.00","1,272.70","1,280.00","1,280.00","1,244.00","1,248.95"
7,8,AARVEEDEN,Aarvee Denims & Exports Limited,39.00,40.35,40.85,40.85,33.90,38.80
8,9,ABAN,Aban Offshore Limited,153.40,154.30,154.60,156.70,152.60,153.75
9,10,ABB,ABB Limited,"1,161.90","1,165.50","1,169.35","1,173.60","1,158.00",0.00
10,11,ABCIL,Aditya Birla Chemicals (India) Limited,0,0,0,0,0,0
11,12,ABGSHIP,ABG Shipyard Limited,5.90,5.85,5.95,6.10,5.80,5.90
12,13,ABIRLANUVO,Aditya Birla Nuvo Limited,0,0,0,0,0,0
13,14,ACC,ACC Limited,"1,320.75","1,332.80","1,333.50","1,335.95","1,308.25","1,322.85"
14,15,ACE,Action Construction Equipment Limited,170.30,166.85,166.90,172.00,165.00,170.50
15,16,ACKRUTI,Ackruti City Limited,0,0,0,0,0,0
16,17,ADANIENT,Adani Enterprises Limited,124.00,119.15,119.05,125.90,118.05,124.80
17,18,ACROPETAL,Acropetal Technologies Limited,0,0,0,0,0,0
18,19,ADANIPOWER,Adani Power Limited,20.10,18.90,19.00,20.60,18.65,20.05
19,20,ADFFOODS,ADF Foods Limited,259.25,255.30,254.05,261.00,254.00,259.45
20,21,ADHUNIK,Adhunik Metaliks Limited,3.50,3.35,3.20,3.50,3.20,3.50
21,22,ADORWELD,Ador Welding Limited,340.50,342.35,339.00,351.90,339.00,342.20
22,23,ADSL,Allied Digital Services Limited,17.15,16.20,16.20,17.40,16.10,17.15
23,24,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,56.65,55.40,57.10,57.10,55.40,56.35
24,25,ADVANTA,Advanta India Limited,0,0,0,0,0,0
25,26,AEGISCHEM,Aegis Logistics Limited,273.70,271.20,272.95,280.00,266.00,274.30
26,27,AFL,Accel Frontline Limited,52.35,49.90,51.90,52.35,50.20,52.05
27,28,AFTEK,Aftek Limited,0,0,0,0,0,0
28,29,AGCNET,AGC Networks Limited,108.25,107.20,107.50,111.65,107.50,108.80
29,30,AGRODUTCH,Agro Dutch Industries Limited,0,0,0,0,0,0
30,31,AHLEAST,Asian Hotels (East) Limited,303.20,297.60,294.00,304.85,293.15,301.40
31,32,AHLUCONT,Ahluwalia Contracts (India) Limited,385.50,386.95,387.00,393.00,378.90,389.40
32,33,AHLWEST,Asian Hotels (West) Limited,275.70,262.60,275.00,275.70,275.00,275.70
33,34,AHMEDFORGE,Ahmednagar Forgings Limited,0,0,0,0,0,0
34,35,AIAENG,AIA Engineering Limited,"1,574.00","1,560.10","1,550.00","1,574.05","1,539.50","1,565.85"
35,36,AICHAMP,AI Champdany Industries Limited,25.00,26.05,25.00,25.00,25.00,25.00
36,37,AJANTPHARM,Ajanta Pharma Limited,996.70,977.60,977.95,"1,008.00",971.70,998.05
37,38,AJMERA,Ajmera Realty & Infra India Limited,247.00,239.45,245.05,256.40,243.90,248.05
38,39,AKSHOPTFBR,Aksh Optifibre Limited,33.15,32.70,32.80,33.50,32.70,33.00
39,40,AKZOINDIA,Akzo Nobel India Limited,"1,932.05","1,897.30","1,899.40","1,938.50","1,895.00","1,902.15"
40,41,ALBK,Allahabad Bank,40.80,40.20,40.15,41.10,39.20,40.70
41,42,ALCHEM,Alchemist Limited,6.25,6.55,6.40,6.60,6.25,6.25
42,43,ALEMBICLTD,Alembic Limited,47.35,48.85,49.05,49.50,47.15,47.40
43,44,ALFALAVAL,Alfa Laval (India) Limited,0,0,0,0,0,0
44,45,ALICON,Alicon Castalloy Limited,628.50,609.50,611.80,628.50,605.00,627.15
45,46,ALKALI,Alkali Metals Limited,76.00,74.45,75.00,76.95,73.30,75.60
46,47,ALKYLAMINE,Alkyl Amines Chemicals Limited,689.60,650.45,669.90,689.60,651.05,681.35
47,48,ALLCARGO,Allcargo Global Logistics Limited,122.40,119.75,118.15,124.90,118.15,122.40
48,49,ALLSEC,Allsec Technologies Limited,313.00,363.95,339.50,340.00,298.35,313.75
49,50,ALMONDZ,Almondz Global Securities Limited,31.80,30.30,31.50,31.80,31.05,31.80
50,51,ALOKTEXT,Alok Industries Limited,1.65,1.60,1.65,1.65,1.65,1.65
51,52,ALPHAGEO,Alphageo (India) Limited,722.00,721.75,734.00,734.00,718.00,724.60
52,53,AMAR,Amar Remedies Limited,0,0,0,0,0,0
53,54,AMARAJABAT,Amara Raja Batteries Limited,787.60,774.45,775.00,794.00,774.90,788.55
54,55,ALPSINDUS,Alps Industries Limited,2.15,2.05,2.05,2.15,2.00,2.15
55,56,AMBIKCO,Ambika Cotton Mills Limited,"1,333.05","1,343.50","1,345.00","1,351.00","1,317.10","1,333.80"
56,57,AMBUJACEM,Ambuja Cements Limited,211.10,212.80,213.50,214.50,209.55,211.60
57,58,AMDIND,AMD Industries Limited,28.40,28.40,28.40,28.40,28.40,0.00
58,59,AMTEKAUTO,Amtek Auto Limited,11.85,11.30,11.85,11.85,11.85,11.85
59,60,AMTEKINDIA,Amtek India Limited,0,0,0,0,0,0
60,61,ANANTRAJ,Anant Raj Industries Limited,43.80,40.75,41.00,44.10,40.85,43.70
61,62,ANDHRABANK,Andhra Bank,36.20,35.70,35.70,36.45,35.35,36.20
62,63,ANDHRSUGAR,The Andhra Sugars Limited,389.00,379.55,382.00,399.50,380.00,390.75
63,64,ANGIND,ANG Industries Limited,2.70,2.60,2.50,2.70,2.50,2.70
64,65,ANIKINDS,Anik Industries Limited,34.40,33.40,34.50,34.80,32.05,33.10
65,66,ANDHRACEMT,Andhra Cements Limited,10.10,10.30,9.80,10.30,9.80,10.05
